Wine Title,Province,Region,Suburb,NoOfWineries,RegionPoints,GrapeVariety,NoOfWineriesPlantedByRegion,NoOfWineriesPlantedTotal,Winery,WineryPoints,Address,Winery-long,Winery-lat,Points,Price
Giant Steps 2006 Harry's Monster Red (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Bordeaux-style Red Blend,5,5,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,89,30
Mount Mary 2005 Quintet Red (Yarra Valley),Victoria,Yarra Valley,Lilydale ,19,88.25,Bordeaux-style Red Blend,5,5,Mount Mary,88.5,"Coldstream West Road, Lilydale, Vic 3140",145.3304123,-37.7154846,88,145
Giant Steps 2011 Tarraford Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,92,42
Ben Haines 2013 Under Woods Steels Creek Syrah (Yarra Valley),Victoria,Yarra Valley,Northcote,19,88.25,Syrah,2,2,Ben Haines,90,"15B Ellesmere Street, Northcote Vic 3070, Australia",145.00726,-37.77341,92,55
Yering Station 2006 Reserve Chardonnay (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Chardonnay,11,16,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,91,60
Innocent Bystander 2007 Chardonnay (Australia),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,20
Warrabilla 2000 Petite Sirah (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Petite Sirah,1,1,Warrabilla,87.5,"340 Old Healesville Road, Yarra Glen, Vic 3775",145.3978993,-37.6461222,88,27
Balgownie Estate 2005 Cabernet Sauvignon (Bendigo),Victoria,Bendigo,Maiden Gully ,6,88.67,Cabernet Sauvignon,1,6,Balgownie Estate,90.25,"	Hermitage Road, Maiden Gully, Vic 3551",144.1956317,-36.73963,89,25
Mount Mary 2004 Quintet Red (Yarra Valley),Victoria,Yarra Valley,Lilydale ,19,88.25,Bordeaux-style Red Blend,5,5,Mount Mary,88.5,"Coldstream West Road, Lilydale, Vic 3140",145.3304123,-37.7154846,89,145
R.L. Buller & Son NV Calliope Rare Tokay (Rutherglen),Victoria,Rutherglen,Rutherglen ,5,91.17,Tokay,4,4,R.L. Buller & Son,91,"2804 Federation Way, Rutherglen, Vic 3685",146.4146699,-35.9900669,98,86
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,95,300
R.L. Buller & Son NV Calliope Rare Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen ,5,91.17,Muscat,4,4,R.L. Buller & Son,91,"2804 Federation Way, Rutherglen, Vic 3685",146.4146699,-35.9900669,94,86
Moorooduc 2012 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,91,36
Giant Steps 2013 Sexton Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,89,42
A.T. Richardson 2007 Chockstone Shiraz (Grampians),Victoria,Grampians,Armstrong ,2,89.33,Shiraz,2,27,A.T. Richardson,89,"103 Hard Hill Road, Armstrong, VIC 3377",142.860102,-37.19719,87,22
Mount Langi Ghiran 2009 Cliff Edge Shiraz (Victoria),Victoria,Grampians,Buangor,2,89.33,Shiraz,2,27,Mount Langi Ghiran,89.43,"80 Vine Road, Buangor, Vic 3375 ",143.152437,-37.3107077,92,25
Giant Steps 2006 Sexton Vineyard Chardonnay (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Chardonnay,11,16,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,90,30
Jasper Hill 2005 Emily's Paddock Shiraz-Cabernet Franc Shiraz (Heathcote),Victoria,Heathcote,Ladys Pass,8,90.46,Shiraz,7,27,Jasper Hill,90.89,"88 Drummonds Ln, Ladys Pass VIC 3523",144.660672,-36.853926,91,125
Giant Steps 2010 Sexton Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,87,35
Yeringberg 2014 Marsanne-Roussanne (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Marsanne-Roussanne,2,2,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,89,60
Chambers Rosewood Vineyards NV Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,90,16
Chambers Rosewood Vineyards NV Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,90,16
Giant Steps 2013 Sexton Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,91,42
Campbells NV Muscat (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscat,4,4,Campbells,88,"4603 Murray Valley Highway, Rutherglen, Vic 3685",146.4310429,-36.0600116,90,19
Dexter 2012 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Tuerong ,7,89.24,Pinot Noir,6,17,Dexter,92,"210 Foxeys Road, Tuerong, Vic 3915",145.0767149,-38.3101939,92,50
Four Sisters 2013 Shiraz (Central Victoria),Victoria,Goulburn Valley,Tabilk ,1,86.67,Shiraz,1,27,Four Sisters,86.67,"199 Dwyers Road, Tabilk, Vic 3608",141.496798,-37.711133,88,14
Yering Station 2008 Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Shiraz-Viognier,3,4,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,89,19
